index,content_id,legacy_id,arabic,diacritized,audio_asset_id,audio_basename,audio_filename,category
1,word.qitt,animals-1,قط,قِطّ,audio.word.qitt,qitt,qitt.mp3,animals
2,word.kalb,animals-2,كلب,كَلْب,audio.word.kalb,kalb,kalb.mp3,animals
3,word.asad,animals-3,أسد,أَسَد,audio.word.asad,asad,asad.mp3,animals
4,word.fil,animals-4,فيل,فِيل,audio.word.fil,fil,fil.mp3,animals
5,word.hisan,animals-5,حصان,حِصَان,audio.word.hisan,hisan,hisan.mp3,animals
6,word.baqara,animals-6,بقرة,بَقَرَة,audio.word.baqara,baqara,baqara.mp3,animals
7,word.kharuf,animals-7,خروف,خَرُوف,audio.word.kharuf,kharuf,kharuf.mp3,animals
8,word.maaiz,animals-8,ماعز,مَاعِز,audio.word.maaiz,maaiz,maaiz.mp3,animals
9,word.jamal,animals-9,جمل,جَمَل,audio.word.jamal,jamal,jamal.mp3,animals
10,word.arnab,animals-10,أرنب,أَرْنَب,audio.word.arnab,arnab,arnab.mp3,animals
11,word.far,animals-11,فأر,فَأْر,audio.word.far,far,far.mp3,animals
12,word.dubb,animals-12,دب,دُبّ,audio.word.dubb,dubb,dubb.mp3,animals
13,word.dhiyb,animals-13,ذئب,ذِئْب,audio.word.dhiyb,dhiyb,dhiyb.mp3,animals
14,word.thalab,animals-14,ثعلب,ثَعْلَب,audio.word.thalab,thalab,thalab.mp3,animals
15,word.namir,animals-15,نمر,نَمِر,audio.word.namir,namir,namir.mp3,animals
16,word.fahd,animals-16,فهد,فَهْد,audio.word.fahd,fahd,fahd.mp3,animals
17,word.qird,animals-17,قرد,قِرْد,audio.word.qird,qird,qird.mp3,animals
18,word.ghurilaa,animals-18,غوريلا,غُورِيلَا,audio.word.ghurilaa,ghurilaa,ghurilaa.mp3,animals
19,word.zaraafa,animals-19,زرافة,زَرَافَة,audio.word.zaraafa,zaraafa,zaraafa.mp3,animals
20,word.himaar_wahshi,animals-20,حمار وحشي,حِمَار وَحْشِيّ,audio.word.himaar_wahshi,himaar_wahshi,himaar_wahshi.mp3,animals
21,word.wahidu_alqarn,animals-21,وحيد القرن,وَحِيدُ القَرْن,audio.word.wahidu_alqarn,wahidu_alqarn,wahidu_alqarn.mp3,animals
22,word.farasu_alnnahr,animals-22,فرس النهر,فَرَسُ النَّهْر,audio.word.farasu_alnnahr,farasu_alnnahr,farasu_alnnahr.mp3,animals
23,word.ghazaal,animals-23,غزال,غَزَال,audio.word.ghazaal,ghazaal,ghazaal.mp3,animals
24,word.khinzir,animals-24,خنزير,خِنْزِير,audio.word.khinzir,khinzir,khinzir.mp3,animals
25,word.afa,animals-25,أفعى,أَفْعَى,audio.word.afa,afa,afa.mp3,animals
26,word.thubaan,animals-26,ثعبان,ثُعْبَان,audio.word.thubaan,thubaan,thubaan.mp3,animals
27,word.sulahfaa,animals-27,سلحفاة,سُلَحْفَاة,audio.word.sulahfaa,sulahfaa,sulahfaa.mp3,animals
28,word.timsaah,animals-28,تمساح,تِمْسَاح,audio.word.timsaah,timsaah,timsaah.mp3,animals
29,word.difda,animals-29,ضفدع,ضِفْدَع,audio.word.difda,difda,difda.mp3,animals
30,word.sahliya,animals-30,سحلية,سَحْلِيَة,audio.word.sahliya,sahliya,sahliya.mp3,animals
31,word.sinjaab,animals-31,سنجاب,سِنْجَاب,audio.word.sinjaab,sinjaab,sinjaab.mp3,animals
32,word.qunfudh,animals-32,قنفذ,قُنْفُذ,audio.word.qunfudh,qunfudh,qunfudh.mp3,animals
33,word.qundus,animals-33,قندس,قُنْدُس,audio.word.qundus,qundus,qundus.mp3,animals
34,word.khuffaash,animals-34,خفاش,خُفَّاش,audio.word.khuffaash,khuffaash,khuffaash.mp3,animals
35,word.kanghar,animals-35,كنغر,كَنْغَر,audio.word.kanghar,kanghar,kanghar.mp3,animals
36,word.kuwaalaa,animals-36,كوالا,كُوَالَا,audio.word.kuwaalaa,kuwaalaa,kuwaalaa.mp3,animals
